Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units 
LIGHT;0;LIGHT;66.63474903;192.2386109;254.1505195;0;[Gwh]
COOLING;0;FOOD_COOLING;313.4025116;0;0;0;[GWh] 
0;0;SPACE_COOLING;0;0;0;0;[GWh] 
0;0;PROCESS_COOLING;0;0;0;0;[GWh] 
Others Electric Uses;0;OTHERS_ELEC;75.74149807;206.8754085;223.8722874;0;[GWh]
Mechanical Drive;0;MEC_DRIVE;2875.955768;6842.428172;19472.39223;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;39243.88023;0;[GWh] 
Heat;space heating;HEAT_LOW_T_SH;6684.65161;3451.06263;1772.574724;0;[GWh] 
Heat;hot water;HEAT_LOW_T_HW;1708.735544;773.6075605;459.2695819;0;[GWh] 
0;heat residential appliances;HEAT_RES;691.240868;0;0;0;[GWh] 
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;147161.8;[Mpkm] 
Mobility;freight;MOBILITY_FREIGHT;0;0;0;70194.7;[Mtkm] 
Non energy;Non energy;NON_ENERGY;0;0;53025.9495;0;[GWh]
