Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units 
LIGHT;0;LIGHT;131.7084071;343.2535494;425.3930327;0;[Gwh]
COOLING;0;FOOD_COOLING;204.4679481;0;0;0;[GWh] 
0;0;SPACE_COOLING;0;0;0;0;[GWh] 
0;0;PROCESS_COOLING;0;0;812.4013444;0;[GWh] 
Others Electric Uses;0;OTHERS_ELEC;342.0742137;729.4395961;956.2427752;0;[GWh]
Mechanical Drive;0;MEC_DRIVE;1914.903186;3556.877315;12262.11294;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;37616.3165;0;[GWh] 
Heat;space heating;HEAT_LOW_T_SH;9867.411076;4601.906048;2551.560858;0;[GWh] 
Heat;hot water;HEAT_LOW_T_HW;1219.734951;498.8503912;319.6870509;0;[GWh] 
0;heat residential appliances;HEAT_RES;969.0218731;0;0;0;[GWh] 
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;109702.8;[Mpkm] 
Mobility;freight;MOBILITY_FREIGHT;0;0;0;69186.2;[Mtkm] 
Non energy;Non energy;NON_ENERGY;0;0;51450.5833;0;[GWh]
