Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units ;;;;;
LIGHT;0;LIGHT;45.02044882;135.0613464;270.1226929;0;[Gwh];;;;;
COOLING;0;FOOD_COOLING;204.4679481;0;0;0;[GWh] ;;;;;
0;0;SPACE_COOLING;0;0;0;0;[GWh] ;;;;;
0;0;PROCESS_COOLING;0;0;812.4013444;0;[GWh] ;;;;;
Others Electric Uses;0;OTHERS_ELEC;342.0742137;729.4395961;956.2427752;0;[GWh];;;;;
Mechanical Drive;0;MEC_DRIVE;11465.00361;17197.50542;28662.50903;0;[GWh];;;;;
Heat;high temperature;HEAT_HIGH_T;0;0;20815;0;[GWh] ;;;;;
Heat;space heating;HEAT_LOW_T_SH;8160;8160;4080;0;[GWh] ;;;;;
Heat;hot water;HEAT_LOW_T_HW;9532.077091;9532.077091;4766.038545;0;[GWh] ;;;;;
0;heat residential appliances;HEAT_RES;969.0218731;0;0;0;[GWh] ;;;;;
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;109702.8;[Mpkm] ;;;;;
Mobility;freight;MOBILITY_FREIGHT;0;0;0;69186.2;[Mtkm] ;;;;;
Non energy;Non energy;NON_ENERGY;0;0;51450.5833;0;[GWh];;;;;
;;;;;;;;;;;;
