Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;final2useful;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];1=Yes/0=No;
Cooling;Space Cooling;Electrical refrigeration cycle;FRIDGE;526.3;52.63;136.838;20;1;0;1;0;1.00E+15;1.00E+00;
Cooling;Space Cooling;Electrical refrigeration cycle;ELEC_REFRIG_CYCLE;27790.62;1190.189;9673.95;20;1;0;1;0;1.00E+15;1.00E+00;TO MODIFY
Cooling;Space Cooling;Thermal refrigeration cycle;TH_REFRIG_CYCLE;17823.52;533.533;22396.66;20;1;0;1;0;1.00E+15;1.00E+00;TO MODIFY
Cooling;Process Cooling;Industrial electric cooling;IND_ELEC_COOLING;6494.542;52.63;1842.05;20;0.95;0;1;0;1.00E+15;1.00E+00;TO MODIFY
Electricity;Electricity;Nuclear; NUCLEAR ;4845.73;102.930986;707.88;60;0.849;0;1;0;5.925;0.00E+00;
Electricity;Electricity;Combined cycle gas turbine; CCGT ;825.96;20.91888483;183.79;25;0.961538462;0;1;0;1.00E+15;0.00E+00;
Electricity;Electricity;Amonia combined cycle gas turbine; CCGT_AMMONIA ;825.96;20.91888483;183.79;25;0.961538462;0;1;0;1.00E+15;0.00E+00;
Electricity;Electricity;Ultra-supercritical coal power plant; COAL_US ;2598.77;30.34193327;331.6;35;0.868;0;1;0;0;0.00E+00;
Electricity;Electricity;Intagrated gasification combined cycle with coal; COAL_IGCC ;3351.65;49.99914413;331.6;35;0.856;0;1;0;0;0.00E+00;
Electricity;Electricity;Photovoltaic; PV ;1220.85;13.94222892;2081.43;25;1;0;1;0;59.2;0.00E+00;
Electricity;Electricity;Wind onshore; WIND_ONSHORE ;1141.96;13.28188235;622.85;30;1;0;1;0;10;0.00E+00;
Electricity;Electricity;Wind offshore; WIND_OFFSHORE ;5357.3;37.27338462;622.85;30;1;0;1;0;6;0.00E+00;
Electricity;Electricity;Hydro river; HYDRO_RIVER ;5044.92;50.4447982;1262.82;40;1;0;1;0;0.115;0.00E+00;
Electricity;Electricity;Geothermal power plant; GEOTHERMAL ;8764.36;162.8224;24929.09;30;0.95;0;1;0;0;0.00E+00;
Heat;Heat high temperature;Cogeneration gas (industry); IND_COGEN_GAS ;2435.980443;156.5819983;1632.8928;25;0.85;0;1;0;1.00E+15;1.00E+00;
Heat;Heat high temperature;Cogeneration wood (industry); IND_COGEN_WOOD ;1869.827407;68.45910622;263.5564732;25;0.85;0;1;0;1.00E+15;1.00E+00;
