Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units 
LIGHT;0;LIGHT;102.7172139;371.3075907;693.6784698;0;[Gwh]
COOLING;0;FOOD_COOLING;241.5543939;0;0;0;[GWh] 
0;0;SPACE_COOLING;22.41488123;64.87048181;5.281694655;0;[GWh] 
0;0;PROCESS_COOLING;0;0;990.733347;0;[GWh] 
Others Electric Uses;0;OTHERS_ELEC;58.37761659;199.7892336;305.518529;0;[GWh]
Mechanical Drive;0;MEC_DRIVE;2323.463379;6465.862019;24044.76201;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;38850.43523;0;[GWh] 
Heat;space heating;HEAT_LOW_T_SH;5289.480698;3426.163063;1754.809547;0;[GWh] 
Heat;hot water;HEAT_LOW_T_HW;1352.103156;768.0307544;454.6621816;0;[GWh] 
0;heat residential appliances;HEAT_RES;532.7725935;0;0;0;[GWh] 
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;151204.8;[Mpkm] 
Mobility;freight;MOBILITY_FREIGHT;0;0;0;84701.5;[Mtkm] 
Non energy;Non energy;NON_ENERGY;0;0;55124.1529;0;[GWh]
